name,genres,features,rating,price
Super Toy Cars,"Indie, Racing","Single-player, Multi-player, Shared/Split Screen, Steam Achievements, Steam Trading Cards, Steam Workshop, Partial Controller Support, Steam Cloud, Stats, Steam Leaderboards, Includes level editor, Remote Play Together, Family Sharing",N/A,$9.99
Lightfish,"Action, Casual, Indie","Single-player, Steam Achievements, Full controller support, Steam Leaderboards, Family Sharing",N/A,$4.99
LUMINES Demo,Casual,"Single-player, Multi-player, Game demo",N/A,Free
LUMINES Advance Pack,Casual,"Single-player, Family Sharing",N/A,N/A
Red Orchestra: Ostfront 41-45,Action,"Multi-player, Steam Achievements, Valve Anti-Cheat enabled, Family Sharing",81,$4.99
Manhunt,Action,"Single-player, Family Sharing",75,$9.99
Max Payne,Action,"Single-player, Family Sharing",89,$9.99
Max Payne 2: The Fall of Max Payne,Action,"Single-player, Family Sharing",86,$9.99
Grand Theft Auto 2,Action,"Single-player, Family Sharing",N/A,N/A
Bully: Scholarship Edition,"Action, Adventure","Single-player, Partial Controller Support, Family Sharing",72,$14.99
Grand Theft Auto IV: The Complete Edition,"Action, Adventure","Single-player, Multi-player, Partial Controller Support, Remote Play on Phone, Remote Play on Tablet",90,$19.99
Grand Theft Auto: Episodes from Liberty City,Action,"Single-player, Multi-player",N/A,N/A
Mare Nostrum,Action,"Multi-player, Mods, Steam Achievements",N/A,Free
Baseball Mogul 2008,Sports,"Single-player, Family Sharing",N/A,N/A
Culpa Innata,"Adventure, Casual, RPG","Single-player, Family Sharing",66,$9.99
Sacred Gold,"Action, RPG","Single-player, Family Sharing",74,$9.99
Darkstar One,Action,"Single-player, Family Sharing",71,$1.79
FlatOut: Ultimate Carnage Collector's Edition,Racing,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Steam Workshop, Steam Cloud, Family Sharing",79,$19.99
Jagged Alliance 2 Gold,Strategy,"Single-player, Family Sharing",N/A,$19.99
Jagged Alliance 2 Gold,Strategy,"Single-player, Family Sharing",N/A,$19.99
Exodus from the Earth,Action,"Single-player, Multi-player, Partial Controller Support, Family Sharing",N/A,$14.99
"Bill "Spaceman" Lee Baseball Mogul 2009",Sports,"Single-player, Family Sharing",65,N/A
Perimeter 2: New Earth,Strategy,"Single-player, Multi-player, Family Sharing",43,$5.99
SlamIt Pinball Big Score,Casual,"Single-player, Family Sharing",N/A,$4.99
Ankh 2: Heart of Osiris ,Adventure,"Single-player, Family Sharing",N/A,$2.79
Ankh 3: Battle of the Gods,Adventure,"Single-player, Family Sharing",N/A,$2.79
BC Kings,Strategy,"Single-player, Multi-player, Family Sharing",N/A,$3.99
Port Royale 2,Strategy,"Single-player, Family Sharing",75,$5.99
9th Company: Roots Of Terror,Strategy,"Single-player, Family Sharing",N/A,$9.99
Killing Floor,Action,"Single-player, Multi-player, Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Workshop, Valve Anti-Cheat enabled, Stats, Includes level editor, Family Sharing",72,$19.99
PuzzleQuest: Challenge of the Warlords,Casual,"Single-player, Multi-player, Steam Cloud, Family Sharing",84,$9.99
Prison Tycoon 3: Lockdown,Strategy,"Single-player, Family Sharing",N/A,$9.99
18 Wheels of Steel: American Long Haul,Racing,"Single-player, Family Sharing",N/A,$9.99
Hunting Unlimited 2008,"Action, Adventure, Strategy","Single-player, Family Sharing",N/A,$9.99
Mahjongg Investigations: Under Suspicion,Casual,"Single-player, Family Sharing",N/A,$9.99
Ride! Carnival Tycoon,Simulation,"Single-player, Family Sharing",N/A,$9.99
Hot Dish,N/A,"Single-player, Family Sharing",N/A,$9.99
Dr. Daisy Pet Vet,N/A,"Single-player, Family Sharing",N/A,$9.99
Sprint Cars Road to Knoxville,Racing,"Single-player, Multi-player, Family Sharing",N/A,$9.99
Midnight Outlaw: 6 Hours to SunUp,Racing,"Single-player, Family Sharing",N/A,$9.99
Drakensang,RPG,"Single-player, Family Sharing",75,$9.99
Fetch It Again,"Casual, Simulation","Single-player, Family Sharing",N/A,$6.99
Miss Popularity,"Casual, Simulation","Single-player, Family Sharing",N/A,$6.99
Mission Runway,Simulation,"Single-player, Family Sharing",N/A,$9.99
Hunting Unlimited 2010,"Simulation, Sports","Single-player, Family Sharing",N/A,$5.99
Overlord: Raising Hell,RPG,"Single-player, Partial Controller Support, Family Sharing",N/A,$9.99
Turning Point: Fall of Liberty,Action,"Single-player, Multi-player, Family Sharing",N/A,N/A
Darkest Hour: Europe '44-'45,"Action, Simulation","Multi-player, PvP, Online PvP, Mods, Includes level editor",N/A,Free
Overlord II,RPG,"Single-player, Family Sharing",79,$9.99
Overlord II Demo,RPG,"Single-player, Game demo",N/A,Free
Operation Flashpoint: Dragon Rising Demo,Action,Game demo,76,Free
AudioSurf,Indie,"Single-player, Co-op, Steam Achievements, Full controller support, Family Sharing",85,$9.99
AudioSurf Demo,Indie,"Single-player, Game demo",85,Free
Half-Life: Blue Shift,Action,"Single-player, Family Sharing",71,$4.99
SiN Episodes: Emergence,Action,"Single-player, Stats, Family Sharing",75,$9.99
Ninja Reflex: Steamworks Edition,"Casual, Indie","Single-player, Multi-player, Steam Achievements, Family Sharing",57,$4.99
Ninja Reflex Demo,"Indie, Casual","Single-player, Game demo",57,Free
America's Army 3,Action,"Single-player, Multi-player, Steam Achievements, Steam Cloud",70,Free
Prince of Persia: Warrior Within,"Action, Adventure","Single-player, Family Sharing",83,$1.99
Tom Clancy's Ghost Recon Advanced Warfighter 2,Action,"Single-player, Multi-player, Family Sharing",76,N/A
Far Cry,Action,"Single-player, Family Sharing",89,$2.99
Prince of Persia: The Two Thrones,"Action, Adventure","Single-player, Partial Controller Support, Family Sharing",85,$1.99
Tom Clancy's Rainbow Six Vegas,Action,"Single-player, Multi-player, Family Sharing",85,$9.99
Tom Clancy's Splinter Cell,Action,"Single-player, Family Sharing",91,$9.99
Tom Clancy's Splinter Cell Chaos Theory,Action,"Single-player, Family Sharing",92,$9.99
Tom Clancy's Splinter Cell Double Agent,Action,"Single-player, Family Sharing",80,$2.49
Prince of Persia: The Sands of Time,"Action, Adventure","Single-player, Family Sharing",89,$1.99
Tom Clancy's Ghost Recon Desert Siege,Action,"Single-player, Multi-player, Family Sharing",82,$1.24
Tom Clancy's Ghost Recon Island Thunder,Action,Family Sharing,82,$1.24
Tom Clancy's Ghost Recon Advanced Warfighter,Action,"Single-player, Multi-player, Family Sharing",80,N/A
Counter-Strike Beta,Action,Family Sharing,N/A,N/A
Darwinia,"Indie, Strategy","Single-player, Full controller support, Steam Cloud, Includes level editor, Family Sharing",84,$9.99
Tom Clancy's Rainbow Six Lockdown,Action,"Single-player, Multi-player, Family Sharing",59,$9.99
Rayman 2 The Great Escape,Action,"Single-player, Family Sharing",N/A,N/A
Rayman Raving Rabbids,"Action, Adventure","Single-player, Family Sharing",58,$9.99
Uplink,"Indie, Strategy","Single-player, Family Sharing",75,$9.99
Assassin's Creed: Director's Cut Edition,"Action, Adventure","Single-player, Partial Controller Support, Family Sharing",79,$19.99
Tom Clancy's Rainbow Six Vegas 2,Action,"Single-player, Multi-player, Co-op, Family Sharing",78,$9.99
Beyond Good and Evil,"Action, Adventure","Single-player, Family Sharing",83,N/A
Petz Horsez 2,Simulation,"Single-player, Family Sharing",N/A,$1.99
Heroes of Might & Magic V,Strategy,"Single-player, Family Sharing",77,$2.49
Brothers in Arms: Road to Hill 30,Action,"Single-player, Family Sharing",87,$9.99
DEFCON,"Indie, Strategy","Single-player, Multi-player, PvP, Online PvP, LAN PvP, Co-op, Online Co-op, LAN Co-op, Cross-Platform Multiplayer, Steam Achievements, Family Sharing",84,$9.99
Silent Hunter: Wolves of the Pacific,Simulation,"Single-player, Multi-player, Family Sharing",79,$2.49
Silent Hunter III,Simulation,"Single-player, Multi-player, Co-op, Family Sharing",90,$9.99
Blazing Angels Squadrons of WWII,"Action, Simulation","Single-player, Multi-player, Family Sharing",65,N/A
Silent Hunter: Wolves of the Pacific U-Boat Missions,Simulation,"Single-player, Multi-player, Family Sharing",N/A,$2.49
Cold Fear,Action,"Single-player, Family Sharing",66,$9.99
IL-2 Sturmovik: 1946,Simulation,"Single-player, Multi-player, Steam Cloud, Includes level editor, Family Sharing",86,$9.99
Lost: Via Domus ,Adventure,"Single-player, Family Sharing",52,N/A
Multiwinia,Indie,"Single-player, Multi-player, PvP, Online PvP, LAN PvP, Co-op, Online Co-op, LAN Co-op, Steam Achievements, Family Sharing",76,$9.99
Tom Clancy's Ghost Recon,Action,"Single-player, Multi-player, Co-op, Family Sharing",80,$2.49
IL-2 Sturmovik: 1946,Simulation,"Single-player, Multi-player, Steam Cloud, Includes level editor, Family Sharing",86,$9.99
The Settlers - Rise Of An Empire,Strategy,"Single-player, Multi-player, Family Sharing",N/A,N/A
Brain Spa,Casual,"Single-player, Multi-player, Co-op, Family Sharing",N/A,$1.99
Heroes of Might & Magic V: Tribes of the East,Strategy,"Single-player, Family Sharing",70,$2.49
Heroes of Might & Magic V: Hammers of Fate,Strategy,"Single-player, Family Sharing",66,$2.49
Brothers in Arms: Hell's Highway,Action,"Single-player, Family Sharing",79,$3.99
Multiwinia Demo,Indie,"Single-player, Game demo",76,Free
Harvest: Massive Encounter,"Strategy, Indie","Single-player, Steam Achievements, Family Sharing",N/A,$7.99
The Wonderful End of the World,"Casual, Indie","Single-player, Steam Achievements, Partial Controller Support, Family Sharing",69,$9.99
The Wonderful End of the World Demo,"Casual, Indie","Single-player, Game demo",69,Free
AaAaAA!!! - A Reckless Disregard for Gravity,"Action, Indie, Sports","Single-player, Steam Achievements, Steam Leaderboards, Family Sharing",81,$9.99
AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,"Action, Indie, Sports","Single-player, Steam Achievements, Full controller support, Steam Leaderboards, Family Sharing",N/A,$9.99
"Warhammer 40,000: Dawn of War II - Anniversary Edition",Strategy,"Single-player, Multi-player, Co-op, Steam Trading Cards, Steam Cloud, Family Sharing",85,$9.99
"Warhammer 40,000: Dawn of War II Single-player Demo",Strategy,"Single-player, Game demo",85,Free
Oddworld: Abe's Oddysee,Adventure,"Single-player, Steam Trading Cards, Family Sharing",N/A,$2.99
Oddworld: Abe's Exoddus,Adventure,"Single-player, Family Sharing",N/A,$2.99
